Time: 2023-01-15 18:53:34,184 | Key: 's'
Time: 2023-01-15 18:53:35,204 | Key: Key.shift
Time: 2023-01-15 18:53:35,255 | Key: Key.cmd
Time: 2023-01-15 18:53:35,337 | Key: 'S'
Time: 2023-01-15 18:53:38,450 | Key: Key.ctrl_l
Time: 2023-01-15 18:53:38,521 | Key: '\x16'
Time: 2023-01-15 18:53:38,997 | Key: Key.enter
Time: 2023-01-15 18:53:49,191 | Key: 't'
Time: 2023-01-15 18:53:49,264 | Key: 'a'
Time: 2023-01-15 18:53:49,455 | Key: 'k'
Time: 2023-01-15 18:53:49,603 | Key: Key.space
Time: 2023-01-15 18:53:49,759 | Key: 's'
Time: 2023-01-15 18:53:49,815 | Key: 'e'
Time: 2023-01-15 18:53:49,938 | Key: Key.space
Time: 2023-01-15 18:53:50,049 | Key: 't'
Time: 2023-01-15 18:53:50,119 | Key: 'o'
Time: 2023-01-15 18:53:50,176 | Key: Key.space
Time: 2023-01-15 18:53:50,329 | Key: 'p'
Time: 2023-01-15 18:53:50,347 | Key: 'o'
Time: 2023-01-15 18:53:50,400 | Key: 'r'
Time: 2023-01-15 18:53:50,831 | Key: Key.backspace
Time: 2023-01-15 18:53:50,947 | Key: Key.backspace
Time: 2023-01-15 18:53:51,038 | Key: 'r'
Time: 2023-01-15 18:53:51,133 | Key: 'o'
Time: 2023-01-15 18:53:51,310 | Key: 'p'
Time: 2023-01-15 18:53:51,391 | Key: 'o'
Time: 2023-01-15 18:53:51,556 | Key: 'j'
Time: 2023-01-15 18:53:51,608 | Key: 'i'
Time: 2023-01-15 18:53:51,785 | Key: Key.enter
Time: 2023-01-15 18:53:53,058 | Key: 'a'
Time: 2023-01-15 18:53:53,146 | Key: 'k'
Time: 2023-01-15 18:53:53,164 | Key: 'o'
Time: 2023-01-15 18:53:53,234 | Key: 'r'
Time: 2023-01-15 18:53:53,324 | Key: 'a'
Time: 2023-01-15 18:53:53,415 | Key: 't'
Time: 2023-01-15 18:53:53,463 | Key: Key.space
Time: 2023-01-15 18:53:53,669 | Key: 't'
Time: 2023-01-15 18:53:53,731 | Key: 'e'
Time: 2023-01-15 18:53:53,829 | Key: 'n'
Time: 2023-01-15 18:53:54,013 | Key: Key.space
Time: 2023-01-15 18:53:54,292 | Key: Key.backspace
Time: 2023-01-15 18:53:54,422 | Key: Key.backspace
Time: 2023-01-15 18:53:54,476 | Key: 'd'
Time: 2023-01-15 18:53:54,549 | Key: Key.space
Time: 2023-01-15 18:53:54,677 | Key: 'b'
Time: 2023-01-15 18:53:54,758 | Key: 'y'
Time: 2023-01-15 18:53:54,860 | Key: Key.space
Time: 2023-01-15 18:53:54,947 | Key: 't'
Time: 2023-01-15 18:53:55,016 | Key: 'e'
